PAÍS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021 r/,2022 p/,2023 p/
Europa,173.4,63.8,-45.6,10.1,115.2,94.9,62.2,168.7,386.6,132.8,336.0,376.7,369.2,325.7,290.9,206.3,376.1,100.4,455.9,25.2,-95.9,-10.5,187.96407848027366,406.69974966782763
Alemania,1.1,12.0,-0.3,0.9,16.6,-1.0,0.0,17.9,2.5,11.6,19.0,29.2,32.3,-5.0,7.1,44.8,157.6,44.1,26.3,-8.2,-15.1,-19.2,5.306286623099954,-2.984802199716205
Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.9,0.6,3.5,1.6,6.8,3.6828316228661717,-0.6989936716030124
Bélgica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.5,1.1,126.5,8.1,-35.1,-64.1,78.43781099604624,278.86762904056735
Dinamarca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3,-1.2,-0.2,-0.1,11.6,5.192574597792641,5.449496028331332
España,8.7,11.0,9.0,7.7,4.4,1.3,0.3,0.0,2.5,-0.4,-0.7,1.9,2.0,4.0,3.8,1.1,0.3,1.0,9.2,1.8,-4.3,-7.1,21.97173494064765,36.467609460018316
Finlandia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.3,7.1,0.0,-9.2,0.9,6.9,10.4,6.8,5.8,0.4522067248948578,3.251313753387729
Francia,1.9,0.7,0.0,0.7,0.0,15.8,3.4,26.1,33.4,4.1,11.7,11.7,12.2,6.5,0.0,0.0,0.0,-0.3,-0.1,-0.1,0.0,0.1,16.332851135376018,21.33670985059249
Italia,16.9,12.2,3.2,0.3,6.0,3.7,2.8,5.4,1.5,1.6,14.5,5.0,11.7,28.4,-6.6,4.3,12.1,49.8,-31.2,2.1,7.2,14.6,0.026175826952350878,-0.005125558762630433
Irlanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.5,21.0,22.2,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.684437494402967,1.8293072938230095
Luxemburgo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.5,132.5,149.2,124.4,150.2,132.7,92.4,107.8,-2.8,247.4,10.2,-6.3,12.7,-4.480087145754286,-34.46330900706177
Noruega,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,12.7,1.3,-0.6,-3.2,-0.22698058119355924,-0.3337339616454518
Países Bajos,133.0,14.6,-57.5,3.3,3.6,3.3,4.6,2.5,1.4,-10.4,2.8,5.5,7.4,0.4,1.0,3.7,-12.6,15.5,49.2,2.4,-14.6,0.7,58.80970522620467,21.931862095578392
